Category,Fund 10,Percent of 10,Fund 21,Percent of 21,Fund 31,Percent of 31,Fund 32,Percent of 32,Fund 49,Percent of 49,All Funds,Percent of All Funds
Local,21817179,23%,3054409,100%,7267314,100%,5369183,100%,590000,8%,38098085,32%
State,53910325,56%,0,0%,0,0%,0,0%,1000000,13%,54910325,46%
Federal,20287823,21%,0,0%,0,0%,0,0%,5965000,79%,26252823,22%
Total Revenue,96015327,100%,3054409,100%,7267314,100%,5369183,100%,7555000,100%,119261233,100%
Salaries,51751239,56%,0,0%,0,0%,0,0%,2338765,29%,54090004,41%
Employee Benefits,25166035,27%,0,0%,0,0%,0,0%,1028785,13%,26194820,20%
Purchased Prof./Tech Services,3469894,4%,0,0%,0,0%,574349,3%,30000,0%,4074243,3%
Purchased Property Services,1050618,1%,0,0%,0,0%,15050312,75%,50000,1%,16150930,12%
Other Purchased Services,2828027,3%,0,0%,0,0%,1100,0%,32725,0%,2861852,2%
Supplies,8015683,9%,2972288,100%,0,0%,345538,2%,3950002,50%,15283511,12%
Property / Equipment,142000,0%,0,0%,0,0%,2203850,11%,30000,0%,2375850,2%
Debt Service & Misc.,595038,1%,0,0%,7746344,100%,1786689,9%,491903,6%,10619974,8%
Total Expenditures,93018534,100%,2972288,100%,7746344,100%,19961838,100%,7952180,100%,131651184,100%
